id,site,job_url,title,company,location,date_posted,is_remote,job_level,company_url,job_url_direct,job_type,interval,currency,description,company_logo,company_url_direct,company_addresses,company_description,salary_source,min_amount,max_amount,company_industry,company_num_employees,company_revenue,relevance_score
li-4417083276,linkedin,https://www.linkedin.com/jobs/view/4417083276,Data Annotator (Arabic) | $11/hr Remote,Crossing Hurdles,,2026-05-20,True,,https://www.linkedin.com/company/crossinghurdles,,,,,,,,,,,,,,,,12
li-4416312196,linkedin,https://www.linkedin.com/jobs/view/4416312196,Python Developer,Tata Consultancy Services,"Halifax, Nova Scotia, Canada",2026-05-20,False,,https://in.linkedin.com/company/tata-consultancy-services,,,,,,,,,,,,,,,,12
li-4415356329,linkedin,https://www.linkedin.com/jobs/view/4415356329,DM Coding Instructor Physical Sessions #2,iSchool,"El Hesah, Al Qalyubiyah, Egypt",2026-05-15,False,,https://eg.linkedin.com/company/ischooltech,,,,,,,,,,,,,,,,11
li-4415358237,linkedin,https://www.linkedin.com/jobs/view/4415358237,DM Coding Instructor Physical Sessions #1,iSchool,"Luxor, Luxor, Egypt",2026-05-15,False,,https://eg.linkedin.com/company/ischooltech,,,,,,,,,,,,,,,,11
li-4413615292,linkedin,https://www.linkedin.com/jobs/view/4413615292,LLM Engineer,VIB,"Leuven, Flemish Region, Belgium",2026-05-20,False,,https://be.linkedin.com/company/vib,,,,,,,,,,,,,,,,10
in-81f747e979a7d5e7,indeed,https://www.indeed.com/viewjob?jk=81f747e979a7d5e7,Planner/Scheduler,Colson Group,"Jonesboro, AR, US",2026-05-20,False,,https://www.indeed.com/cmp/Colson-Group,https://secure4.entertimeonline.com/ta/6142183.jobs?ShowJob=990132052,,yearly,USD,"Colson Gro up USA is an operating unit of Colson Group the largest manufacturer of caster and wheel products in the world. The brands of Colson Group USA have been technological leaders in caster innovation for over 350 combined years. This drive has led to some of the most trusted, advanced, and highest-quality mobility solutions available in the world today. Colson Group's unique and proprietary global footprint provides available services and capabilities unmatched by any other manufacturer.

Colson Group is currently seeking to hire a Planner/Scheduler that has good knowledge of the planning/scheduling processes.. The Planner/Scheduler coordinates and expedites the work flow of work and materials within or between departments according to daily and weekly production schedules. Duties include reviewing and distributing production, work, and shipment schedules; conferring with department supervisors to determine progress of work and completion dates; inventory levels and solving production problems.

**Primary Responsibilities:**

* Analyze, prepare and create schedules needed for production
* Ensure daily production requirements are achieved to meet Customer expectations
* Data analysis and decision making to support raw material supply and finished goods demand
* Follow-up as required with all teams to expedite flow of materials and work orders to meet production schedule and Customer expectations
* Complete status reports for production progress, work in process and raw material inventory
* Interact with shop floor management on a daily basis to resolve issues or gather additional information as requested from Manufacturing, Customer Service and other cross functional departments
* Coordinate with engineering on deviations to maintain the bill of operations and bill of materials

  

* Planning/Scheduling materials and work orders - at least 1-2 years
* Working in a manufacturing environment - at least 1 year
* MRP/ERP system usage - at least 1 year

**Education:**

Bachelors degree in Supply Chain Management or equivalent preferred. APICS certification preferred.

**Skills:**

* Understanding of ERP system and Microsoft Office products; strong computer skills
* Detail-oriented, ability to multi-task and prioritize tasks with strict deadlines
* Strong organizational and communication skills
* Able to use logic and reasoning to identify solutions to problems
* Demonstrates personal time management
* Works well with Customers/others on the phone
* Flexibility for handling a wide range of activities

**Working Environment:**

* Work is generally performed within an office environment, with standard office equipment.

**Physical Requirements:**

* Work is generally sedentary in nature, but may require standing and walking for up to 10% of the time. May be required to walk long distances repeatedly throughout the day.

**Mental Requirements:**

* Organize and coordinate schedules
* Analyze and interpret complex data
* Problem-solving",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/87cbf56269d62dc91e0fb20cd9a8dd3e,https://www.colsongroup.com,Oakbrook Terrace,,,,,,"501 to 1,000",,10
li-4416122124,linkedin,https://www.linkedin.com/jobs/view/4416122124,Master Trainer – Sales Capability Building,Jobgether,,2026-05-20,False,,https://be.linkedin.com/company/jobgether,,,,,,,,,,,,,,,,10
li-4380035391,linkedin,https://www.linkedin.com/jobs/view/4380035391,10-11th Grade Math Associate Instructor (Summer 2026),SEO (Sponsors for Educational Opportunity),"Miami, FL",2026-05-20,False,,https://www.linkedin.com/school/seousa/,,,,,,,,,,,,,,,,10
li-4416194484,linkedin,https://www.linkedin.com/jobs/view/4416194484,Technical Training Instructor,Tata Consultancy Services,"Toronto, Ontario, Canada",2026-05-20,False,,https://in.linkedin.com/company/tata-consultancy-services,,,,,,,,,,,,,,,,10
li-4412860387,linkedin,https://www.linkedin.com/jobs/view/4412860387,Data Engineer – Remote,YO IT Consulting,"Cairo, Cairo, Egypt",2026-05-19,True,,https://ae.linkedin.com/company/yohritconsulting,,,,,,,,,,,,,,,,10
